Star_na             [Fe/H]        Vphi        err_vphi      [C/Fe]
54178-2492-247     -2.00100     -343.460      132.180     0.535000
54169-2498-058     -2.11000     -44.8800      44.6100     0.360000
54180-2502-194     -2.86000      207.620      48.3700      2.35100
53876-2507-231     -2.13500     -202.030      133.100      1.65100
54141-2513-478     -2.33300     -173.180      101.590      1.99500
54180-2515-286     -2.05400      93.4300      45.4600    -0.316000
54241-2516-058     -2.62900     -220.460      86.4100      2.17200
54567-2517-305     -2.72300     -87.3500      103.900      2.47300
54569-2525-011     -2.12200      188.550      12.3200     0.571000
54174-2589-055     -2.06800     -205.850      72.4100      1.73200
54484-2605-446     -2.24300     -169.460      136.740      1.84500
54476-2610-242     -2.11400      190.830      36.5700      1.86400
54477-2611-250     -2.47600     -113.970      129.810   -0.0890000
54110-2634-566     -2.22600      211.300      114.260     0.435000
54230-2641-446     -2.40900      192.290      108.810     0.977000
54495-2647-241     -2.14600      148.880      37.1600     0.279000
54484-2656-431     -2.01900      94.1600      133.790      1.73800
54502-2657-520     -2.04900     -68.9700      72.7200    0.0880000
54502-2658-035     -2.15900      4.36000      115.030     0.580000
54234-2663-321     -2.15800     -190.960      87.0500     0.691000
54232-2665-528     -2.07100     -233.430      155.400      1.08500
54211-2690-091     -2.05700     -391.460      57.2600      1.76900
54234-2753-512     -2.00300     -403.510      121.550      1.75300
54508-2756-606     -2.03000     -14.6600      64.0700      1.71500
54535-2764-083     -2.00600      88.8600      105.450     0.612000
54534-2774-207     -2.00900     -91.8600      147.140     0.705000
54535-2775-159     -2.13200      253.900      127.150    -0.118000
54539-2778-161     -2.16200      15.4900      101.570     0.588000
54557-2780-261     -2.15000     -41.3800      46.0200     0.185000
54555-2789-061     -2.16300     -81.5800      106.350     0.221000
54485-2851-034     -2.26500     -287.360      138.610      1.70600
54478-2866-059     -2.44600      181.630      50.5000     0.397000
54509-2880-532     -2.89200     -2.63000      89.6600      2.27800
54577-2906-466     -2.34900      49.3500      65.3200      2.81600
54554-2918-336     -2.00100     -5.78000      55.6000     0.372000
54557-2949-052     -2.05000     -291.360      82.1000      1.28500
54560-2953-467     -2.11200     -44.9000      125.600     0.939000
